,Track URI,Track Name,Artist URI,Artist Name,Artist Popularity,Artist Genres,Album,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
7,spotify:track:3X5Jbz7VhZfbPqIRmYIj8c,Saans,spotify:artist:1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,79,['filmi'],Jab Tak Hai Jaan,58,0.543,0.665,9,-8.295,1,0.0623,0.505,6.41e-06,0.144,0.495,81.97,326113,4
8,spotify:track:517bz7zkWELmyL4eZzJ5R9,"Galliyan (From ""Ek Villain"")",spotify:artist:0E02VcvA5p1ndkLdqWD5JB,Ankit Tiwari,65,"['filmi', 'modern bollywood']",Best Of Shraddha Kapoor,65,0.552,0.75,10,-5.215,0,0.039,0.445,7.37e-05,0.291,0.4,89.999,340400,4
9,spotify:track:3oKuEvvclPj25AifUVoKxS,"Tum Hi Ho (From ""Aashiqui 2"")",spotify:artist:4YRxDV8wJFPHPTeXepOstw,Arijit Singh,89,"['filmi', 'modern bollywood']",Loveholic Arijit Singh,63,0.528,0.449,5,-6.25,0,0.025,0.785,0.0,0.122,0.317,94.058,261974,4
10,spotify:track:6UgcN95w7vQxkR8sEFmwHG,Chahun Main Ya Naa,spotify:artist:3yMmYEklQ7gLOZXEFNd3xr,Palak Muchhal,66,"['filmi', 'modern bollywood']",Aashiqui 2,71,0.645,0.517,9,-6.708,0,0.0273,0.522,3.27e-06,0.0905,0.259,106.906,304900,4
11,spotify:track:5PvwPy5eRO8BPwpRzCHK3D,Sunn Raha Hai,spotify:artist:0E02VcvA5p1ndkLdqWD5JB,Ankit Tiwari,65,"['filmi', 'modern bollywood']",Aashiqui 2,72,0.394,0.641,0,-6.493,0,0.0312,0.276,0.0,0.0958,0.335,81.932,390223,4
12,spotify:track:0abFCVmIYGQB6fuMnx0ftU,Kabhi Jo Badal Barse,spotify:artist:4YRxDV8wJFPHPTeXepOstw,Arijit Singh,89,"['filmi', 'modern bollywood']",Best of Arijit Singh,0,0.457,0.457,0,-6.871,0,0.0292,0.28,0.0,0.132,0.239,149.847,254485,4
13,spotify:track:5b7u3idwfY2LyqMQlCwscm,"Kaun Tujhe (From ""M.S.Dhoni - The Untold Story"")",spotify:artist:3yMmYEklQ7gLOZXEFNd3xr,Palak Muchhal,66,"['filmi', 'modern bollywood']",2016 Shining Star - Palak Muchhal,61,0.531,0.431,2,-8.937,0,0.037,0.868,2.47e-05,0.127,0.19,107.99,241449,4
14,spotify:track:1gwO79MdYdumgIjxq8eCxB,Bahara,spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb,Vishal-Shekhar,75,"['filmi', 'modern bollywood']",I Hate Luv Storys (Original Motion Picture Soundtrack),65,0.595,0.739,5,-6.733,1,0.0359,0.0716,6.98e-06,0.134,0.722,87.834,325707,4
15,spotify:track:22kRCQPyNXWZSQEcDvCmGD,Gulabi,spotify:artist:1mBydYMVBECdDmMfE2sEUO,Sachin-Jigar,76,"['filmi', 'gujarati pop', 'modern bollywood']",Shuddh Desi Romance,65,0.673,0.663,4,-10.026,1,0.0446,0.0648,1.79e-05,0.117,0.678,124.002,230661,4
16,spotify:track:3H43T5swYywvcdCBFiDgW6,Manwa Laage,spotify:artist:0oOet2f43PA68X5RxKobEy,Shreya Ghoshal,82,"['filmi', 'modern bollywood']",Happy New Year,63,0.676,0.671,0,-6.271,1,0.0526,0.568,0.0,0.0885,0.572,81.046,272083,4
17,spotify:track:6f7zyAEUCZuvX4Zty62Z5o,Radha,spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb,Vishal-Shekhar,75,"['filmi', 'modern bollywood']",Student of the Year (Original Motion Picture Soundtrack),61,0.804,0.748,1,-14.163,0,0.0616,0.11,0.0,0.0998,0.699,131.989,341360,4
18,spotify:track:18e3XXYCv4Tx8uUl1mP3CN,Balam Pichkari,spotify:artist:1wRPtKGflJrBx9BmLsSwlU,Pritam,86,"['filmi', 'indian instrumental', 'modern bollywood']",Yeh Jawaani Hai Deewani,67,0.732,0.944,0,-4.115,1,0.09,0.209,0.0,0.401,0.957,120.02,288903,4
19,spotify:track:0joXv5niso2T8YXWOlIe1X,Titli,spotify:artist:5UJ2sHO2ELrgW6aXeRLTQQ,Chinmayi,73,"['filmi', 'marathi pop']",Chennai Express,63,0.679,0.421,7,-9.13,0,0.0344,0.685,6.81e-06,0.244,0.65,81.012,350618,4
20,spotify:track:5orNEFkFG4RP24goF02AuD,Kashmir Main Tu Kanyakumari,spotify:artist:3eDT9fwXKuHWFvgZaaYC5v,Sunidhi Chauhan,73,"['filmi', 'modern bollywood']",Chennai Express,62,0.84,0.743,0,-7.66,1,0.0599,0.0307,0.000161,0.421,0.826,106.996,307627,4
